Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:3.000000, 193/517 ...errors:2542238.000000, BEP:0.503469, transmissions:0 - took 5.354524 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:11.000000, 116/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.650624 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:9.000000, 81/517 ...errors:364721.000000, BEP:0.857531, transmissions:0 - took 2.980558 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^10, EbN0:1.000000, 313/517 ...errors:2558638.000000, BEP:0.500266, transmissions:0 - took 8.335918 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:2.000000, 222/517 ...errors:2538675.000000, BEP:0.504165, transmissions:0 - took 4.345848 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:14.000000, 153/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 3.943583 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:10.500000, 115/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.645072 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:1.000000, 282/517 ...errors:2556773.000000, BEP:0.500630, transmissions:0 - took 5.312851 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:8.500000, 80/517 ...errors:864303.000000, BEP:0.662382, transmissions:0 - took 2.968038 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:1.500000, 252/517 ...errors:2558477.000000, BEP:0.500297, transmissions:0 - took 6.079764 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:2.500000, 192/517 ...errors:2545360.000000, BEP:0.502859, transmissions:0 - took 5.456359 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:10.000000, 114/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.696566 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:1.500000, 221/517 ...errors:2544261.000000, BEP:0.503074, transmissions:0 - took 4.360483 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:13.500000, 152/517 ...errors:66.000000, BEP:0.999974, transmissions:0 - took 3.936862 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:8.000000, 79/517 ...errors:1131398.000000, BEP:0.558048, transmissions:0 - took 3.009393 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:9.500000, 113/517 ...errors:8.000000, BEP:0.999997, transmissions:0 - took 2.648772 mins
